CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,BalanceSalaryRatio,ProductDensity,EngagementProductInteraction,AgeTenureInteraction,IsZeroBalance,CreditScoreBand,Geography_Germany,Geography_Spain,Gender_Male,Exited
753,57,7,0.0,1,1,0,159475.08,0.0,0.125,0,399,1,4,False,False,True,1
739,32,3,102128.27,1,1,0,63981.37,1.5962188680611837,0.25,0,96,0,3,True,False,True,1
755,37,0,113865.23,2,1,1,117396.25,0.9699222078987197,2.0,2,0,0,4,True,False,False,0
561,37,5,0.0,2,1,0,83093.25,0.0,0.3333333333333333,0,185,1,1,False,False,True,0
692,49,6,110540.43,2,0,1,107472.99,1.0285414967888347,0.2857142857142857,2,294,0,3,True,False,True,0
659,38,9,0.0,2,1,1,132809.18,0.0,0.2,2,342,1,2,False,False,False,0
782,34,9,0.0,1,1,0,183021.06,0.0,0.1,0,306,1,4,False,False,True,1
546,24,8,156325.38,1,1,1,125381.02,1.2468025862188168,0.1111111111111111,1,192,0,1,False,False,True,0
756,41,2,124439.49,2,0,1,47093.11,2.64241393268267,0.6666666666666666,2,82,0,4,True,False,True,0
685,34,6,83264.28,1,0,0,9663.28,8.616564974975725,0.14285714285714285,0,204,0,3,False,True,True,0
531,53,5,127642.44,1,1,0,141501.45,0.902057470076087,0.16666666666666666,0,265,0,1,False,False,False,1
560,31,3,115141.18,1,1,0,39806.75,2.89250390944017,0.25,0,93,0,1,False,False,False,0
733,31,9,102289.85,1,1,1,115441.66,0.886073970169122,0.1,1,279,0,3,False,True,False,0
674,27,4,111568.01,1,0,1,22026.18,5.065245539396062,0.2,1,108,0,3,True,False,False,0
644,37,9,0.0,2,1,1,96442.86,0.0,0.2,2,333,1,2,False,True,True,0
695,32,9,0.0,3,0,1,38533.79,0.0,0.3,3,288,1,3,False,True,True,0
750,42,8,151836.36,2,1,0,68695.38,2.2102848837547695,0.2222222222222222,0,336,0,4,True,False,True,0
754,35,6,98585.94,2,0,1,106116.84,0.9290319990594422,0.2857142857142857,2,210,0,4,True,False,True,0
744,34,3,0.0,2,1,0,27244.35,0.0,0.5,0,102,1,4,False,True,True,0
588,22,9,67178.19,1,1,1,163534.75,0.4107884715608714,0.1,1,198,0,2,False,True,False,1
696,44,8,161889.79,1,0,0,75562.47,2.1424629184019204,0.1111111111111111,0,352,0,3,False,False,True,0
774,52,2,56580.93,1,1,0,113266.28,0.49953905080576905,0.3333333333333333,0,104,0,4,False,False,False,1
704,31,0,0.0,2,1,0,183038.33,0.0,2.0,0,0,1,3,False,False,True,0
